DIRETORIO;ARQUIVOS;KB;MB;GB;KB-ATUAL;MB-ATUAL;GB-ATUAL;INICIO;FIM
C:\tci\img\3130;13;34607,43;33,80;0,03;34607,43;33,80;0,03;04/05/19 11:47;04/05/19 11:47;
C:\tci\img\3131;24;53194,41;51,95;0,05;53194,41;51,95;0,05;04/05/19 11:47;04/05/19 11:47;
